2015-08-04 12:34:59,732 [Worker-26] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\nikitab\SMS\SMS\src\test\resources
2015-08-04 12:35:14,922 [Worker-29] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-08-04 12:35:14,924 [Worker-29] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2015-08-04 12:35:14,927 [Worker-29] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-08-04 12:35:14,928 [Worker-29] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\nikitab\SMS\SMS\src\test\resources
2015-08-04 12:35:25,221 [Worker-29] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-08-04 12:35:25,223 [Worker-29] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2015-08-04 12:35:25,229 [Worker-29] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-08-04 12:35:25,231 [Worker-29] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\nikitab\SMS\SMS\src\test\resources
2015-08-04 12:35:27,754 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-08-04 12:35:27,756 [Worker-17] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2015-08-04 12:35:27,759 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-08-04 12:35:27,761 [Worker-17] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\nikitab\SMS\SMS\src\test\resources
